Variable,n válido,Media,Mediana,Moda,Mínimo,Q1,Q3,Máximo,Varianza muestral,Desviación estándar,Coeficiente de variación (%),Asimetría,Curtosis,Interpretación,Histograma,Boxplot
¿Cuántos días por semana utilizas herramientas de IA generativa para temas académicos?,100,4.09,4.0,3.0000,1.0,3.0,5.0,7.0,2.8908,1.7002,41.5706,0.0328,-0.9311,"La media es 4.09, la mediana es 4.00 y la variabilidad se clasifica como alta dispersión.",resultados_proyecto\histograma_Cuántos_días_por_semana_utilizas_herramientas_de_IA_generativa_para_temas_académ.png,resultados_proyecto\boxplot_Cuántos_días_por_semana_utilizas_herramientas_de_IA_generativa_para_temas_académ.png
"¿Hace cuántos meses aproximadamente empezaste a usar IA generativa para tus estudios? (Ponga su respuesta en números enteros, por favor)",100,10.23,10.0,12.0000,1.0,6.0,14.0,24.0,33.3708,5.7767,56.4687,0.4724,-0.0641,"La media es 10.23, la mediana es 10.00 y la variabilidad se clasifica como alta dispersión.",resultados_proyecto\histograma_Hace_cuántos_meses_aproximadamente_empezaste_a_usar_IA_generativa_para_tus_estud.png,resultados_proyecto\boxplot_Hace_cuántos_meses_aproximadamente_empezaste_a_usar_IA_generativa_para_tus_estud.png
"De cada 10 trabajos o tareas académicas que entregas, ¿en cuántos usas IA generativa?",100,5.33,5.0,5.0000,1.0,4.0,7.0,10.0,6.0415,2.4579,46.1154,0.0259,-0.8138,"La media es 5.33, la mediana es 5.00 y la variabilidad se clasifica como alta dispersión.",resultados_proyecto\histograma_De_cada_10_trabajos_o_tareas_académicas_que_entregas_en_cuántos_usas_IA_generati.png,resultados_proyecto\boxplot_De_cada_10_trabajos_o_tareas_académicas_que_entregas_en_cuántos_usas_IA_generati.png
¿Cuál es tu promedio académico acumulado actual?,100,4.0807,4.1,4.1000,3.4,3.9,4.3,4.7,0.0788,0.2807,6.8795,-0.2713,0.081,"La media es 4.08, la mediana es 4.10 y la variabilidad se clasifica como baja dispersión.",resultados_proyecto\histograma_Cuál_es_tu_promedio_académico_acumulado_actual.png,resultados_proyecto\boxplot_Cuál_es_tu_promedio_académico_acumulado_actual.png
